Country,Confederation
Algeria,CAF
Angola,CAF
Argentina,CONMEBOL
Australia,AFC
Austria,UEFA
Belgium,UEFA
Bolivia,CONMEBOL
Bosnia and Herzegovina,UEFA
Brazil,CONMEBOL
Bulgaria,UEFA
Cameroon,CAF
Canada,CONCACAF
Chile,CONMEBOL
China,AFC
Colombia,CONMEBOL
Costa Rica,CONCACAF
Croatia,UEFA
Cuba,CONCACAF
Cyprus,UEFA
Czech Republic,UEFA
Czechoslovakia,UEFA
Denmark,UEFA
Dutch East Indies,AFC
East Germany,UEFA
Ecuador,CONMEBOL
Egypt,CAF
El Salvador,CONCACAF
England,UEFA
Finland,UEFA
FR Yugoslavia,UEFA
France,UEFA
Germany,UEFA
Ghana,CAF
Greece,UEFA
Guatemala,CONCACAF
Guinea,CAF
Haiti,CONCACAF
Honduras,CONCACAF
Hungary,UEFA
Iceland,UEFA
Iran,AFC
Iraq,AFC
Israel,UEFA
Italy,UEFA
Ivory Coast,CAF
Jamaica,CONCACAF
Japan,AFC
Kuwait,AFC
Mali,CAF
Mexico,CONCACAF
Monaco,NA
Morocco,CAF
Netherlands,UEFA
New Zealand,OFC
Nigeria,CAF
North Korea,AFC
Northern Ireland,UEFA
Norway,UEFA
Panama,CONCACAF
Paraguay,CONMEBOL
Peru,CONMEBOL
Poland,UEFA
Portugal,UEFA
Qatar,AFC
Republic of Ireland,UEFA
Réunion,CAF
Romania,UEFA
Russia,UEFA
Saudi Arabia,AFC
Scotland,UEFA
Senegal,CAF
Serbia,UEFA
Serbia and Montenegro,UEFA
Slovakia,UEFA
Slovenia,UEFA
South Africa,CAF
South Korea,AFC
Spain,UEFA
Sweden,UEFA
Switzerland,UEFA
Togo,CAF
Trinidad and Tobago,CONCACAF
Tunisia,CAF
Turkey,UEFA
Ukraine,UEFA
United Arab Emirates,AFC
United States,CONCACAF
Uruguay,CONMEBOL
USSR,UEFA
Wales,UEFA
West Germany,UEFA
Yugoslavia,UEFA
Zaire,CAF
NA,NA
