Year,Game ID,Date mmm dd,Match stage,Team 1 name,Team 2 name,Team 1 final score,Team 2 final score,minute,Team scored,Player name in Rdata,Player name wiki,Team played for,Player number,extra info
1930,1930.01,Jul-13,Group A,France,Mexico,4,1,19,France,Lucien Laurent,Lucien Laurent,France,NA,
1930,1930.01,Jul-13,Group A,France,Mexico,4,1,40,France,Marcel Langiller,Marcel Langiller,France,NA,
1930,1930.01,Jul-13,Group A,France,Mexico,4,1,43,France,André Maschinot,André Maschinot,France,NA,
1930,1930.01,Jul-13,Group A,France,Mexico,4,1,70,Mexico,Juan Carreño,Juan Carreño,Mexico,NA,
1930,1930.01,Jul-13,Group A,France,Mexico,4,1,87,France,André Maschinot,André Maschinot,France,NA,
1930,1930.05,Jul-15,Group A,Argentina,France,1,0,81,Argentina,Luis Monti,Luis Monti,Argentina,NA,
1930,1930.06,Jul-16,Group A,Chile,Mexico,3,0,3,Chile,Carlos Vidal,Carlos Vidal,Chile,NA,
1930,1930.06,Jul-16,Group A,Chile,Mexico,3,0,52,Chile,Manuel Rosas,Manuel Rosas,Mexico,NA,og
1930,1930.06,Jul-16,Group A,Chile,Mexico,3,0,65,Chile,Carlos Vidal,Carlos Vidal,Chile,NA,
1930,1930.1,Jul-19,Group A,Chile,France,1,0,67,Chile,Guillermo Subiabre,Guillermo Subiabre,Chile,NA,
1930,1930.11,Jul-19,Group A,Argentina,Mexico,6,3,8,Argentina,Guillermo Stábile,Guillermo Stábile,Argentina,NA,
1930,1930.11,Jul-19,Group A,Argentina,Mexico,6,3,12,Argentina,Adolfo Zumelzú,Adolfo Zumelzú,Argentina,NA,
1930,1930.11,Jul-19,Group A,Argentina,Mexico,6,3,17,Argentina,Guillermo Stábile,Guillermo Stábile,Argentina,NA,
1930,1930.11,Jul-19,Group A,Argentina,Mexico,6,3,42,Mexico,Manuel Rosas,Manuel Rosas,Mexico,NA,pen
1930,1930.11,Jul-19,Group A,Argentina,Mexico,6,3,53,Argentina,Francisco Varallo,Francisco Varallo,Argentina,NA,
1930,1930.11,Jul-19,Group A,Argentina,Mexico,6,3,55,Argentina,Adolfo Zumelzú,Adolfo Zumelzú,Argentina,NA,
1930,1930.11,Jul-19,Group A,Argentina,Mexico,6,3,65,Mexico,Manuel Rosas,Manuel Rosas,Mexico,NA,
