Year,Game ID,Date mmm dd,Time 24hr,Venue,City,Match stage,Match no. in stage,Team 1 name,Team 2 name,Team 1 final score,Team 2 final score,Team 1 pens,Team 2 pens,Extra time ind,HT/FT/HTET scores
1930,1930.01,Jul 13,1500,Estadio Pocitos,Montevideo,Group A,1,France,Mexico,4,1,,,,(3:0)
1930,1930.05,Jul 15,1600,Central Park,Montevideo,Group A,2,Argentina,France,1,0,,,,(0:0)
1930,1930.06,Jul 16,1445,Central Park,Montevideo,Group A,3,Chile,Mexico,3,0,,,,(1:0)
1930,1930.1,Jul 19,1250,Estadio Centenario,Montevideo,Group A,4,Chile,France,1,0,,,,(0:0)
1930,1930.11,Jul 19,1500,Estadio Centenario,Montevideo,Group A,5,Argentina,Mexico,6,3,,,,(3:1)
1930,1930.14,Jul 22,1445,Estadio Centenario,Montevideo,Group A,6,Argentina,Chile,3,1,,,,(2:1)
1930,1930.03,Jul 14,1245,Central Park,Montevideo,Group B,1,Yugoslavia,Brazil,2,1,,,,(2:0)
1930,1930.07,Jul 17,1245,Central Park,Montevideo,Group B,2,Yugoslavia,Bolivia,4,0,,,,(0:0)
1930,1930.12,Jul 20,1300,Estadio Centenario,Montevideo,Group B,3,Brazil,Bolivia,4,0,,,,(1:0)
1930,1930.04,Jul 14,1450,Estadio Pocitos,Montevideo,Group C,1,Romania,Peru,3,1,,,,(1:0)
1930,1930.09,Jul 18,1430,Estadio Centenario,Montevideo,Group C,2,Uruguay,Peru,1,0,,,,(0:0)
1930,1930.15,Jul 22,1450,Estadio Centenario,Montevideo,Group C,3,Uruguay,Romania,4,0,,,,(4:0)
1930,1930.02,Jul 13,1500,Central Park,Montevideo,Group D,1,United States,Belgium,3,0,,,,(2:0)
1930,1930.08,Jul 17,1445,Central Park,Montevideo,Group D,2,United States,Paraguay,3,0,,,,(2:0)
1930,1930.13,Jul 20,1500,Estadio Centenario,Montevideo,Group D,3,Paraguay,Belgium,1,0,,,,(1:0)
1930,1930.16,Jul 26,1445,Estadio Centenario,Montevideo,Semi-Finals,1,Argentina,United States,6,1,,,,(1:0)
1930,1930.17,Jul 27,1445,Estadio Centenario,Montevideo,Semi-Finals,2,Uruguay,Yugoslavia,6,1,,,,(3:1)
1930,1930.18,Jul 30,1530,Estadio Centenario,Montevideo,Final,1,Uruguay,Argentina,4,2,,,,(1:2)
1934,1934.01,May 27,1630,Stadio PNF,Rome,First Round,1,Italy,United States,7,1,,,,(3:0)
1934,1934.02,May 27,1630,Stadio Littorio,Trieste,First Round,2,Czechoslovakia,Romania,2,1,,,,(0:1)
1934,1934.03,May 27,1630,Stadio Giovanni Berta,Florence,First Round,3,Germany,Belgium,5,2,,,,(1:2)
1934,1934.04,May 27,1630,Stadio Mussolini,Turin,First Round,4,Austria,France,3,2,,,aet,"(1:1, 1:1, 2:1)"
1934,1934.05,May 27,1630,Stadio Luigi Ferraris,Genoa,First Round,5,Spain,Brazil,3,1,,,,(3:0)
1934,1934.06,May 27,1630,Stadio San Siro,Milan,First Round,6,Switzerland,Netherlands,3,2,,,,(2:1)
1934,1934.07,May 27,1630,Stadio Littoriale,Bologna,First Round,7,Sweden,Argentina,3,2,,,,(1:1)
1934,1934.08,May 27,1630,Stadio Ascarelli,Naples,First Round,8,Hungary,Egypt,4,2,,,,(2:2)
