Year,Host_country,Winner,Runner_up,tournament_start_date
1930,Uruguay,Uruguay,Argentina,13/07/1930
1934,Italy,Italy,Czechoslovakia,27/05/1934
1938,France,Italy,Hungary,4/06/1938
1950,Brazil,Uruguay,Brazil,24/06/1950
1954,Switzerland,West Germany,Hungary,16/06/1954
1958,Sweden,Brazil,Sweden,8/06/1958
1962,Chile,Brazil,Czechoslovakia,30/05/1962
1966,England,England,West Germany,11/07/1966
1970,Mexico,Brazil,Italy,31/05/1970
1974,West Germany,West Germany,Netherlands,13/06/1974
1978,Argentina,Argentina,Netherlands,1/06/1978
1982,Spain,Italy,West Germany,13/06/1982
1986,Mexico,Argentina,West Germany,31/05/1986
1990,Italy,West Germany,Argentina,8/06/1990
1994,United States,Brazil,Italy,17/06/1994
1998,France,France,Brazil,10/06/1998
2002,South Korea,Brazil,Germany,31/05/2002
2002,Japan,Brazil,Germany,31/05/2002
2006,Germany,Italy,France,9/06/2006
2010,South Africa,Spain,Netherlands,11/06/2010
2014,Brazil,Germany,Argentina,12/06/2014
2018,Russia,France,Croatia,14/06/2018
